sample,t_sec,ecg
sample_0,0.0,0.0
sample_0,0.1,0.0
sample_0,0.2,0.0
sample_0,0.3,0.0
sample_0,0.4,0.0
sample_0,0.5,0.0
sample_0,0.6000000000000001,0.0
sample_0,0.7000000000000001,0.0
sample_0,0.8,0.0
sample_0,0.9,0.0
sample_0,1.0,0.0123519796995185
sample_0,1.1,0.0446314068783469
sample_0,1.2000000000000002,-0.0899575350180164
sample_0,1.3,-0.031056153683675
sample_0,1.4,0.0390982942305869
sample_0,1.5,0.0
sample_0,1.6,0.0
sample_0,1.7000000000000002,0.0
sample_0,1.8,0.0
sample_0,1.9,0.0
sample_0,2.0,0.0081435391421371
sample_0,2.1,0.0648357384369733
sample_0,2.2,-0.0530794686402612
sample_0,2.3000000000000003,-0.2736618724529178
sample_0,2.4000000000000004,0.0047199157094178
sample_0,2.5,0.5840741303409545
sample_0,2.6,0.0535878001199622
sample_0,2.7,-0.3985116635432558
sample_0,2.8000000000000003,-0.1917905904772214
sample_0,2.9000000000000004,-0.0001081989346583
sample_0,3.0,0.0079646438012361
sample_0,3.1,0.0637725302582337
sample_0,3.2,-0.0512533690193941
sample_0,3.3000000000000003,-0.2707363500871144
sample_0,3.4000000000000004,0.0020222202982063
sample_0,3.5,0.5797083275873427
sample_0,3.6,0.0545943143751045
sample_0,3.7,-0.3953989899060691
sample_0,3.8,-0.1914664519148731
sample_0,3.9,-0.0005189451644348
sample_0,4.0,0.093428270575615
sample_0,4.1000000000000005,0.2170776977250621
sample_0,4.2,-0.0033319287778221
sample_0,4.3,-0.0720783821224091
sample_0,4.4,-0.0843470604015296
sample_0,4.5,0.5872156732006172
sample_0,4.6000000000000005,0.053388491967779
sample_0,4.7,-0.4010822642915589
sample_0,4.800000000000001,-0.1902028910625954
sample_0,4.9,0.0011554966945683
sample_0,5.0,0.0823805636328878
sample_0,5.1000000000000005,0.216604671067152
sample_0,5.2,0.0165974578048414
sample_0,5.300000000000001,-0.0676035650335977
sample_0,5.4,-0.0977393606267796
sample_0,5.5,-0.0677998474432758
sample_0,5.6000000000000005,0.2362931842865603
sample_0,5.7,0.0418751710993367
sample_0,5.800000000000001,-0.3379575663940902
sample_0,5.9,-0.1241531829517294
sample_0,6.0,0.073915978217026
sample_0,6.1000000000000005,0.2148516542468809
sample_0,6.2,0.0304449402199538
sample_0,6.300000000000001,-0.0628186329239816
sample_0,6.4,-0.105697151020159
sample_0,6.5,-0.0799499017907328
sample_0,6.6000000000000005,0.2357758834009033
sample_0,6.7,0.0562167053764034
sample_0,6.800000000000001,-0.3360102551241387
sample_0,6.9,-0.1306987872123199
sample_0,7.0,0.3608649574864983
sample_0,7.1000000000000005,0.0898961036846616
sample_0,7.2,-0.0519677138044912
sample_0,7.300000000000001,0.2098647454014913
sample_0,7.4,-0.1782754275852618
sample_0,7.5,-0.0897691033656176
sample_0,7.6,0.2368811622042737
sample_0,7.7,0.0657279820559048
sample_0,7.800000000000001,-0.3361105561295855
sample_0,7.9,-0.1340612025360062
sample_0,8.0,0.3618273188131477
sample_0,8.1,0.0876755591059997
sample_0,8.200000000000001,-0.0550511138883548
sample_0,8.3,0.2182739914020932
sample_0,8.4,-0.1752234305305155
sample_0,8.5,-0.5945978379836592
sample_0,8.6,0.1276131228757131
sample_0,8.700000000000001,0.5366064436535853
sample_0,8.8,-0.0215109132130253
sample_0,8.9,-0.1617332013741211
sample_0,9.0,0.3610716514154868
sample_0,9.1,0.0851244336268272
sample_0,9.2,-0.0583765329395402
sample_0,9.3,0.2336762741785803
sample_0,9.4,-0.1716413557353468
sample_0,9.5,-0.6127396778917176
sample_0,9.6,0.1233442517038232
sample_0,9.7,0.6973376592780506
sample_0,9.8,-0.1035561922298824
sample_0,9.9,-0.6759836533890526
sample_0,10.0,0.0167010743232337
sample_0,10.1,0.4388373579707034
sample_0,10.2,0.2304742434242057
sample_0,10.3,0.3690477512573881
sample_0,10.4,0.0156248534300679
sample_0,10.5,-0.4628147163058436
sample_0,10.6,-0.2225147481024214
sample_0,10.7,0.078911472354067
sample_0,10.8,0.5617856889091402
sample_0,10.9,0.4057300473778713
sample_0,11.0,-0.0883038083760747
sample_0,11.1,-0.5661863180263738
sample_0,11.2,-0.4775583980433406
sample_0,11.3,0.4633257365856772
sample_0,11.4,0.5894144243466256
sample_0,11.5,-0.3808467183915439
sample_0,11.6,-0.601410489291001
sample_0,11.7,0.1586281561122478
sample_0,11.8,0.5865176364263494
sample_0,11.9,0.1667597346425171
sample_0,12.0,-0.4521528353350226
sample_0,12.1,-0.6502519304641513
sample_0,12.2,-0.1795653777641539
sample_0,12.3,0.4650634966553213
sample_0,12.4,0.3978096643266872
sample_0,12.5,-0.3278952541585966
sample_0,12.6,-0.4627428532366361
sample_0,12.7,0.1515580808323134
sample_0,12.8,0.5427690926912833
sample_0,12.9,0.1618357935877009
sample_0,13.0,-0.2463864682649343
sample_0,13.1,-0.1785885953039613
sample_0,13.2,-0.1361804352821038
sample_0,13.3,-0.1509681621265344
sample_0,13.4,0.1052311192859021
sample_0,13.5,-0.3469752494532638
sample_0,13.6,-0.515721084171655
sample_0,13.7,0.13676938359385
sample_0,13.8,0.527015662051868
sample_0,13.9,0.1704256946107442
sample_0,14.0,-0.2036568921750983
sample_0,14.1,-0.1601722147507872
sample_0,14.2,-0.1521848745113392
sample_0,14.3,-0.15570322676502
sample_0,14.4,0.0984839426203851
sample_0,14.5,0.328972472401185
sample_0,14.6,-0.0112597245612012
sample_0,14.7,-0.0407608622403832
sample_0,14.8,0.1385536686662893
sample_0,14.9,-0.3343375114546928
sample_0,15.0,-0.1971347121482443
sample_0,15.1,-0.1734156673135601
sample_0,15.2,-0.1668621651237581
sample_0,15.3,-0.1462862265613451
sample_0,15.4,0.1092168779987197
sample_0,15.5,0.322449888043484
sample_0,15.6,-0.0135129660276909
sample_0,15.7,-0.0317683959483677
sample_0,15.8,0.1379738043209058
sample_0,15.9,-0.3393057132595611
sample_0,16.0,-0.5750068763199381
sample_0,16.1,0.3850967747013532
sample_0,16.2,0.8987322664533812
sample_0,16.3,-0.0489893723523742
sample_0,16.400000000000002,-0.6816089197756924
sample_0,16.5,0.1463664997121703
sample_0,16.6,-0.0386425628246574
sample_0,16.7,0.0577956577670392
sample_0,16.8,0.2203296902944315
sample_0,16.900000000000002,-0.2778602822358698
sample_0,17.0,-0.5425648786581564
sample_0,17.1,0.3516769972299563
sample_0,17.2,0.8408528987233173
sample_0,17.3,-0.0896266171751333
sample_0,17.400000000000002,-0.7046097921599278
sample_0,17.5,-0.0485804051783244
sample_0,17.6,0.2256300768455034
sample_0,17.7,-0.1169654743507066
sample_0,17.8,-0.1450065463859668
sample_0,17.900000000000002,0.2644428595873259
sample_0,18.0,-0.536644396842424
sample_0,18.1,0.3455993654916884
sample_0,18.2,0.8387875228460406
sample_0,18.3,-0.0879919884268651
sample_0,18.4,-0.7176532896411623
sample_0,18.5,-0.0462595730719106
sample_0,18.6,0.24499290156765
sample_0,18.7,-0.1168495661745654
