t_sec,heartbeat
0.0,0.9924971606868608
0.0834989329604454,-2.2190497337436614
0.16652426634140016,-0.6832141649040367
0.2501426955428595,-2.225714064551393
0.33294367924951035,0.9212479649179381
0.4164205195579987,-1.97897407023549
0.5002100206487582,2.2992249536397713
0.5828992904930071,1.186675297172998
0.6663379161601277,-0.8372108917972126
0.7499040701729853,0.371625279081225
0.8328157462070236,-0.7543975523979616
0.9167649169519317,-0.6068045532346747
0.9994312220533571,-3.6196961597187274
1.083044093894457,1.1183140465276782
1.1668843169670249,1.721508701298027
1.249914678381158,1.6726566130331375
1.3333773011916095,0.01229589974782741
1.4164831125343336,-1.0478073670760337
1.4994388082016525,0.4960624388087629
1.5833268760146935,2.5840511112880837
1.6662600576889366,0.789082553448534
1.7497407919844439,0.7461303222793638
1.8328789649035302,3.2669366636645103
1.9164366608943924,2.9846236977570895
1.9996504909816848,-0.5113190291924443
2.0828753815175025,-0.012400147410016833
2.1668884505178854,-2.9179485259143627
2.2506346796068506,-1.0525706205079257
2.333431749165441,0.19283856939841604
2.4162504796726454,2.6523622643039033
2.4996306687891505,0.4631188545232778
2.5834592799466733,-0.9251971125342529
2.6662106644461314,1.5862693093856812
2.7501097520114093,-1.305450514422969
2.833489822115781,0.2367236909892827
2.916631737375972,-0.7399745898892727
2.9997595667184433,1.377210452794962
3.0831061492116274,0.8317160643385756
3.1663905747742636,-0.8335003906027375
3.249769537120349,0.18102638076799588
3.3332036871344903,0.5818562849351873
3.416096677006721,-1.7835660268660112
3.4999894166405014,0.02800246346934898
3.583563446528561,1.5214612284263436
3.6661213392723373,-0.2989692494419032
3.7495394158446183,1.4628962033817823
3.8329905421636776,2.1595896428933554
3.91677606918763,-2.6382413753137617
3.9999055241026147,-0.2879428117965567
4.08354369526254,3.060656805866771
4.1663117252124495,3.0713713159923905
4.250182938503333,1.498688059838683
4.333243010336912,-1.0080459528219767
4.416629131291416,1.2213898803573686
4.500346954689335,0.48203575188351133
4.5831596015708636,0.08073194108364112
4.6661782781023575,3.2328976994789826
4.74968224626188,-0.006764016555112162
4.833199629866795,2.5752590363026737
4.916558680590586,1.7152246428347198
4.999597781081901,6.868516566542988
5.083087944670823,1.71768873025312
5.166978116954068,-1.0955680215916428
5.249946766271456,0.765022078080544
5.333074377107178,4.974437353234973
5.4166547670808205,1.2538516347385926
5.500011785354708,2.766572718727691
5.5825778967688855,-0.4053005269421347
5.666853033893707,2.424317119351705
5.749854481906922,-1.3091009129386595
5.83386577748149,4.054805430320776
5.916492932129078,0.6361341473791149
5.999581908620691,2.1894830201678914
6.0827990629299755,0.9052472178659894
6.167095488024285,1.6005809683792407
6.249469893272206,0.12470720033229585
6.333018717099126,-2.414647960804197
6.416616195588213,0.37212466095100327
6.500001540153569,3.678336164718295
6.583024620415075,2.3159356608701023
6.66607644055525,-1.731245473142469
6.749789041264351,0.49464064113510964
6.833018826978458,3.1400994664162516
6.9164970266167805,-3.625099098319064
6.9995314824853825,-1.55869733352224
7.0830507966071465,0.31920082609620004
7.1664092665269,1.8606724252043547
7.249980318085438,1.607010219249313
7.333493110851246,0.4063932252209718
7.416628268529493,4.940182929158621
7.499646865067827,-0.36322537601975363
7.583233765744516,1.4266761399042633
7.6666850574289205,3.526389947210602
7.749768208299453,1.9537217857668172
7.832872639182678,4.739052115440601
7.916280017092905,5.847207333276401
7.999741336311974,5.735567515347752
8.083384746701421,-0.32821517749316953
8.166367436971338,3.3350133209905337
8.249362473111335,4.657932329491668
8.333458919768873,2.822146802459844
8.416929745155533,-2.3197747999814444
8.499484722232854,-1.3717426673732656
8.582814966008408,-3.424017358992512
8.66674162135163,-0.3115570562026522
8.749879896235761,-4.055015090309778
8.833057824139807,3.684973782774143
8.91641846287761,-1.8867564586790615
8.999811229848222,-4.2729708270648725
9.083788172653867,-4.719339299574054
9.166842068669872,-3.8190687813275694
9.250171845968529,-0.12271000671179383
9.333256269364577,3.087891971006406
9.416174505383308,6.075611889177746
