t_sec,ecg
3.853333,-0.07031464583269753
3.86,-0.05468916898098697
3.866667,-0.039063692129276406
3.873333,0.0
3.88,0.0390942106387524
3.886667,0.07815790276802881
3.893333,0.1250343333231605
3.9,0.15628528702658162
3.906667,0.17972350230414746
3.913333,0.2031617175817133
3.92,0.2031617175817133
3.926667,0.18753624073000275
3.933333,0.17191076387829218
3.94,0.15628528702658162
3.946667,0.14065981017487106
3.953333,0.1250343333231605
3.96,0.10940885647144993
3.966667,0.07815790276802881
3.973333,0.06253242591631825
3.98,0.046906949064607684
3.986667,0.03128147221289712
3.993333,0.01565599536118656
4.0,3.051850947599719e-05
4.006667,-0.007782219916379284
4.013333,-0.015625476851710562
4.02,0.007812738425855281
4.026667,0.0390942106387524
4.033333,0.07815790276802881
4.04,0.1250343333231605
4.046667,0.15628528702658162
4.053333,0.17191076387829218
4.06,0.1640980254524369
4.066667,0.14065981017487106
4.073333,0.10940885647144993
4.08,0.07034516434217353
4.086667,0.03128147221289712
4.093333,-0.007782219916379284
4.1,-0.04687643055513169
4.106667,-0.07031464583269753
4.113333,-0.07812738425855281
4.12,-0.07812738425855281
4.126667,-0.07031464583269753
4.133333,-0.07031464583269753
4.14,-0.039063692129276406
4.146667,0.8203375347148045
4.153333,-0.7812433240760521
4.16,-0.7812433240760521
4.166667,-0.7968688009277627
4.173333,0.5781731620227668
4.18,-0.43748283333841975
4.186667,-0.8515884884182257
4.193333,-0.8515884884182257
4.2,-0.6640827661976989
4.206667,-0.3750114444410535
4.213333,-0.24219489120151372
4.22,-0.1718802453688162
4.226667,-0.10156559953611866
4.233333,-0.06250190740684225
4.24,-0.06250190740684225
4.246667,-0.11719107638782922
4.253333,-0.1718802453688162
4.26,-0.1718802453688162
4.266667,-0.1640675069429609
4.273333,-0.15625476851710562
4.28,-0.13281655323953978
4.286667,-0.10156559953611866
4.293333,-0.07031464583269753
4.3,-0.04687643055513169
4.306667,-0.039063692129276406
4.313333,-0.031250953703421125
4.32,-0.031250953703421125
4.326667,-0.023438215277565844
4.333333,-0.007812738425855281
4.34,0.015625476851710562
4.346667,0.0390942106387524
4.353333,0.07034516434217353
4.36,0.10159611804559465
4.366667,0.1250343333231605
4.373333,0.13284707174901578
4.38,0.13284707174901578
4.386667,0.13284707174901578
4.393333,0.1250343333231605
4.4,0.10159611804559465
4.406667,0.06253242591631825
4.413333,0.03128147221289712
4.42,0.00784325693533128
4.426667,3.051850947599719e-05
4.433333,-0.007782219916379284
4.44,-0.015625476851710562
4.446667,-0.015625476851710562
4.453333,-0.023438215277565844
4.46,-0.023438215277565844
