sample,t_sec,ecg
sample_0,1.26,0.0859375
sample_0,1.266667,0.0703125
sample_0,1.273333,0.0625
sample_0,1.28,0.0546875
sample_0,1.286667,0.0390625
sample_0,1.293333,0.015625
sample_0,1.3,-0.0078125
sample_0,1.306667,-0.031280517578125
sample_0,1.313333,-0.031280517578125
sample_0,1.32,-0.031280517578125
sample_0,1.326667,-0.023468017578125
sample_0,1.333333,-0.023468017578125
sample_0,1.34,-0.023468017578125
sample_0,1.346667,-0.007843017578125
sample_0,1.353333,0.007781982421875
sample_0,1.36,0.015625
sample_0,1.366667,0.0078125
sample_0,1.373333,-0.0234375
sample_0,1.38,-0.078155517578125
sample_0,1.386667,-0.132843017578125
sample_0,1.393333,-0.179718017578125
sample_0,1.4,-0.210968017578125
sample_0,1.406667,-0.234405517578125
sample_0,1.413333,-0.242218017578125
sample_0,1.42,-0.234405517578125
sample_0,1.426667,-0.179718017578125
sample_0,1.433333,-0.093780517578125
sample_0,1.44,-0.007843017578125
sample_0,1.446667,0.078094482421875
sample_0,1.453333,0.125
sample_0,1.46,0.1484375
sample_0,1.466667,0.15625
sample_0,1.473333,0.15625
sample_0,1.48,0.1484375
sample_0,1.486667,0.1171875
sample_0,1.493333,0.0859375
sample_0,1.5,0.0625
sample_0,1.506667,0.046875
sample_0,1.513333,0.03125
sample_0,1.52,0.015625
sample_0,1.526667,0.0
sample_0,1.533333,-0.015655517578125
sample_0,1.54,-0.015655517578125
sample_0,1.546667,-0.015655517578125
sample_0,1.553333,0.007781982421875
sample_0,1.56,0.0390625
sample_0,1.566667,0.078125
sample_0,1.573333,0.1171875
sample_0,1.58,0.1328125
sample_0,1.586667,0.125
sample_0,1.593333,0.078125
sample_0,1.6,0.015625
sample_0,1.606667,-0.0546875
sample_0,1.613333,-0.117218017578125
sample_0,1.62,-0.187530517578125
sample_0,1.626667,-0.234405517578125
sample_0,1.633333,-0.257843017578125
sample_0,1.64,-0.242218017578125
sample_0,1.646667,0.007781982421875
sample_0,1.653333,0.0
sample_0,1.66,-3.0517578125e-05
sample_0,1.666667,0.093719482421875
sample_0,1.673333,0.671875
sample_0,1.68,-0.8359375
sample_0,1.686667,-0.8359375
sample_0,1.693333,1.0
sample_0,1.7,0.2890625
sample_0,1.706667,-0.6640625
sample_0,1.713333,0.929656982421875
sample_0,1.72,0.929656982421875
sample_0,1.726667,-0.937530517578125
sample_0,1.733333,-0.640655517578125
sample_0,1.74,-0.304718017578125
sample_0,1.746667,0.015594482421875
sample_0,1.753333,0.1640625
sample_0,1.76,0.1640625
sample_0,1.766667,0.0625
sample_0,1.773333,-0.1640625
sample_0,1.78,-0.304718017578125
sample_0,1.786667,-0.304718017578125
sample_0,1.793333,-0.296905517578125
sample_0,1.8,-0.273468017578125
sample_0,1.806667,-0.234405517578125
sample_0,1.813333,-0.171905517578125
sample_0,1.82,-0.109405517578125
sample_0,1.826667,-0.070343017578125
sample_0,1.833333,-0.015655517578125
sample_0,1.84,0.031219482421875
sample_0,1.846667,0.0625
sample_0,1.853333,0.078125
sample_0,1.86,0.0859375
sample_0,1.866667,0.078125
sample_0,1.873333,0.0703125
sample_0,1.88,0.078125
sample_0,1.886667,0.09375
sample_0,1.893333,0.125
sample_0,1.9,0.1640625
sample_0,1.906667,0.2109375
sample_0,1.913333,0.25
sample_0,1.92,0.28125
sample_0,1.926667,0.28125
sample_0,1.933333,0.28125
sample_0,1.94,0.28125
sample_0,1.946667,0.28125
sample_0,1.953333,0.2578125
sample_0,1.96,0.2109375
sample_0,1.966667,0.171875
sample_0,1.973333,0.140625
sample_0,1.98,0.125
sample_0,1.986667,0.1015625
sample_0,1.993333,0.078125
sample_0,2.0,0.03125
sample_0,2.006667,-0.0078125
sample_0,2.013333,-0.023468017578125
sample_0,2.02,-0.039093017578125
sample_0,2.026667,-0.054718017578125
sample_0,2.033333,-0.070343017578125
sample_0,2.04,-0.101593017578125
sample_0,2.046667,-0.125030517578125
sample_0,2.053333,-0.140655517578125
sample_0,2.06,-0.148468017578125
sample_0,2.066667,-0.164093017578125
sample_0,2.073333,-0.187530517578125
sample_0,2.08,-0.210968017578125
sample_0,2.086667,-0.226593017578125
sample_0,2.093333,-0.234405517578125
sample_0,2.1,-0.234405517578125
sample_0,2.106667,-0.250030517578125
sample_0,2.113333,-0.273468017578125
sample_0,2.12,-0.281280517578125
sample_0,2.126667,-0.296905517578125
sample_0,2.133333,-0.304718017578125
sample_0,2.14,-0.320343017578125
sample_0,2.146667,-0.343780517578125
sample_0,2.153333,-0.359405517578125
sample_0,2.16,-0.351593017578125
sample_0,2.166667,-0.335968017578125
sample_0,2.173333,-0.312530517578125
sample_0,2.18,-0.304718017578125
sample_0,2.186667,-0.320343017578125
sample_0,2.193333,-0.343780517578125
sample_0,2.2,-0.367218017578125
sample_0,2.206667,-0.382843017578125
sample_0,2.213333,-0.382843017578125
sample_0,2.22,-0.390655517578125
sample_0,2.226667,-0.398468017578125
sample_0,2.233333,-0.398468017578125
sample_0,2.24,-0.375030517578125
sample_0,2.246667,-0.320343017578125
sample_0,2.253333,-0.242218017578125
sample_0,2.26,-0.171905517578125
sample_0,2.266667,-0.132843017578125
sample_0,2.273333,-0.109405517578125
sample_0,2.28,-0.085968017578125
sample_0,2.286667,-0.054718017578125
sample_0,2.293333,-0.015655517578125
sample_0,2.3,0.007781982421875
sample_0,2.306667,0.0078125
sample_0,2.313333,0.0078125
sample_0,2.32,0.0234375
sample_0,2.326667,0.03125
sample_0,2.333333,0.046875
sample_0,2.34,0.046875
sample_0,2.346667,0.0390625
sample_0,2.353333,0.0234375
sample_0,2.36,0.0078125
sample_0,2.366667,-0.0390625
sample_0,2.373333,-0.039093017578125
sample_0,2.38,-0.023468017578125
sample_0,2.386667,0.335906982421875
sample_0,2.393333,-0.9296875
sample_0,2.4,-0.5390625
sample_0,2.406667,-0.5390625
sample_0,2.413333,-0.9453125
sample_0,2.42,0.2421875
sample_0,2.426667,-0.3984375
sample_0,2.433333,-0.632843017578125
sample_0,2.44,-0.632843017578125
sample_0,2.446667,-0.609405517578125
sample_0,2.453333,-0.570343017578125
sample_0,2.46,-0.484405517578125
sample_0,2.466667,-0.312530517578125
sample_0,2.473333,-0.117218017578125
sample_0,2.48,-0.015655517578125
sample_0,2.486667,-0.015655517578125
sample_0,2.493333,-0.062530517578125
sample_0,2.5,-0.117218017578125
sample_0,2.506667,-0.117218017578125
sample_0,2.513333,-0.109405517578125
sample_0,2.52,-0.070343017578125
sample_0,2.526667,-0.023468017578125
sample_0,2.533333,0.015594482421875
sample_0,2.54,0.03125
sample_0,2.546667,0.0390625
sample_0,2.553333,0.0625
sample_0,2.56,0.09375
sample_0,2.566667,0.1328125
sample_0,2.573333,0.1484375
sample_0,2.58,0.1484375
sample_0,2.586667,0.15625
sample_0,2.593333,0.15625
sample_0,2.6,0.1796875
sample_0,2.606667,0.21875
sample_0,2.613333,0.25
sample_0,2.62,0.28125
sample_0,2.626667,0.3046875
sample_0,2.633333,0.3203125
sample_0,2.64,0.3359375
sample_0,2.646667,0.34375
sample_0,2.653333,0.3359375
sample_0,2.66,0.296875
sample_0,2.666667,0.234375
sample_0,2.673333,0.1640625
sample_0,2.68,0.09375
sample_0,2.686667,0.0390625
sample_0,2.693333,-0.015625
sample_0,2.7,-0.093780517578125
sample_0,2.706667,-0.179718017578125
sample_0,2.713333,-0.257843017578125
sample_0,2.72,-0.304718017578125
sample_0,2.726667,-0.351593017578125
sample_0,2.733333,-0.382843017578125
sample_0,2.74,-0.414093017578125
sample_0,2.746667,-0.445343017578125
sample_0,2.753333,-0.445343017578125
sample_0,2.76,-0.406280517578125
sample_0,2.766667,-0.351593017578125
sample_0,2.773333,-0.304718017578125
sample_0,2.78,-0.257843017578125
sample_0,2.786667,-0.226593017578125
sample_0,2.793333,-0.203155517578125
sample_0,2.8,-0.171905517578125
sample_0,2.806667,-0.156280517578125
sample_0,2.813333,-0.156280517578125
sample_0,2.82,-0.156280517578125
sample_0,2.826667,-0.148468017578125
sample_0,2.833333,-0.140655517578125
sample_0,2.84,-0.125030517578125
sample_0,2.846667,-0.101593017578125
sample_0,2.853333,-0.078155517578125
sample_0,2.86,-0.046905517578125
sample_0,2.866667,-0.015655517578125
sample_0,2.873333,0.007781982421875
sample_0,2.88,0.0234375
sample_0,2.886667,0.03125
sample_0,2.893333,0.0390625
sample_0,2.9,0.0390625
sample_0,2.906667,0.0234375
sample_0,2.913333,0.0078125
sample_0,2.92,0.0
sample_0,2.926667,-3.0517578125e-05
sample_0,2.933333,0.007781982421875
sample_0,2.94,0.015625
sample_0,2.946667,0.03125
sample_0,2.953333,0.0546875
sample_0,2.96,0.0703125
sample_0,2.966667,0.078125
sample_0,2.973333,0.078125
sample_0,2.98,0.078125
sample_0,2.986667,0.078125
sample_0,2.993333,0.1015625
sample_0,3.0,0.140625
sample_0,3.006667,0.1796875
sample_0,3.013333,0.21875
sample_0,3.02,0.234375
sample_0,3.026667,0.2421875
sample_0,3.033333,0.234375
sample_0,3.04,0.21875
sample_0,3.046667,0.1796875
sample_0,3.053333,0.1171875
sample_0,3.06,0.046875
sample_0,3.066667,-0.0234375
sample_0,3.073333,-0.062530517578125
sample_0,3.08,-0.148468017578125
sample_0,3.086667,-0.156280517578125
sample_0,3.093333,-0.164093017578125
sample_0,3.1,-0.132843017578125
sample_0,3.106667,0.226531982421875
sample_0,3.113333,-0.9765625
sample_0,3.12,-0.53125
sample_0,3.126667,-0.53125
sample_0,3.133333,-0.9453125
sample_0,3.14,0.1328125
sample_0,3.146667,-0.6484375
sample_0,3.153333,-0.914093017578125
sample_0,3.16,-0.914093017578125
sample_0,3.166667,-0.734405517578125
sample_0,3.173333,-0.406280517578125
sample_0,3.18,-0.156280517578125
sample_0,3.186667,-0.007843017578125
sample_0,3.193333,0.046844482421875
sample_0,3.2,0.046875
sample_0,3.206667,0.0390625
sample_0,3.213333,0.0390625
sample_0,3.22,0.0625
sample_0,3.226667,0.109375
sample_0,3.233333,0.15625
sample_0,3.24,0.1796875
sample_0,3.246667,0.1875
sample_0,3.253333,0.1875
sample_0,3.26,0.1875
sample_0,3.266667,0.21875
sample_0,3.273333,0.25
sample_0,3.28,0.2734375
sample_0,3.286667,0.28125
sample_0,3.293333,0.296875
sample_0,3.3,0.3203125
sample_0,3.306667,0.3671875
sample_0,3.313333,0.4296875
sample_0,3.32,0.484375
sample_0,3.326667,0.515625
sample_0,3.333333,0.53125
sample_0,3.34,0.5546875
sample_0,3.346667,0.5703125
sample_0,3.353333,0.5859375
sample_0,3.36,0.578125
sample_0,3.366667,0.546875
sample_0,3.373333,0.4921875
sample_0,3.38,0.4453125
sample_0,3.386667,0.40625
sample_0,3.393333,0.3671875
sample_0,3.4,0.3203125
sample_0,3.406667,0.265625
sample_0,3.413333,0.1875
sample_0,3.42,0.0859375
sample_0,3.426667,0.0078125
sample_0,3.433333,-0.0703125
sample_0,3.44,-0.148468017578125
sample_0,3.446667,-0.226593017578125
sample_0,3.453333,-0.296905517578125
sample_0,3.46,-0.343780517578125
sample_0,3.466667,-0.359405517578125
sample_0,3.473333,-0.335968017578125
sample_0,3.48,-0.312530517578125
sample_0,3.486667,-0.289093017578125
sample_0,3.493333,-0.273468017578125
sample_0,3.5,-0.250030517578125
sample_0,3.506667,-0.234405517578125
sample_0,3.513333,-0.234405517578125
sample_0,3.52,-0.257843017578125
sample_0,3.526667,-0.281280517578125
sample_0,3.533333,-0.296905517578125
sample_0,3.54,-0.296905517578125
sample_0,3.546667,-0.273468017578125
sample_0,3.553333,-0.250030517578125
sample_0,3.56,-0.226593017578125
sample_0,3.566667,-0.210968017578125
sample_0,3.573333,-0.195343017578125
sample_0,3.58,-0.195343017578125
sample_0,3.586667,-0.203155517578125
sample_0,3.593333,-0.226593017578125
sample_0,3.6,-0.265655517578125
sample_0,3.606667,-0.304718017578125
sample_0,3.613333,-0.343780517578125
sample_0,3.62,-0.375030517578125
sample_0,3.626667,-0.367218017578125
sample_0,3.633333,-0.335968017578125
sample_0,3.64,-0.304718017578125
sample_0,3.646667,-0.281280517578125
sample_0,3.653333,-0.265655517578125
sample_0,3.66,-0.257843017578125
sample_0,3.666667,-0.234405517578125
sample_0,3.673333,-0.195343017578125
sample_0,3.68,-0.156280517578125
sample_0,3.686667,-0.125030517578125
sample_0,3.693333,-0.093780517578125
sample_0,3.7,-0.046905517578125
sample_0,3.706667,-3.0517578125e-05
sample_0,3.713333,0.046844482421875
sample_0,3.72,0.0703125
sample_0,3.726667,0.078125
sample_0,3.733333,0.0625
sample_0,3.74,0.0546875
sample_0,3.746667,0.046875
sample_0,3.753333,0.0234375
sample_0,3.76,0.0
sample_0,3.766667,-0.015655517578125
sample_0,3.773333,-0.023468017578125
sample_0,3.78,-0.031280517578125
sample_0,3.786667,-0.023468017578125
sample_0,3.793333,-0.015655517578125
sample_0,3.8,-3.0517578125e-05
sample_0,3.806667,0.023406982421875
sample_0,3.813333,0.0546875
sample_0,3.82,0.078125
sample_0,3.826667,0.1015625
sample_0,3.833333,0.375
sample_0,3.84,0.9453125
sample_0,3.846667,-0.78125
sample_0,3.853333,-0.78125
sample_0,3.86,0.75
sample_0,3.866667,-0.1875
sample_0,3.873333,-0.656280517578125
sample_0,3.88,-0.671905517578125
sample_0,3.886667,-0.671905517578125
sample_0,3.893333,-0.507843017578125
sample_0,3.9,-0.265655517578125
sample_0,3.906667,-0.132843017578125
sample_0,3.913333,-0.039093017578125
sample_0,3.92,0.046844482421875
sample_0,3.926667,0.0859375
sample_0,3.933333,0.1015625
sample_0,3.94,0.109375
sample_0,3.946667,0.109375
sample_0,3.953333,0.0859375
sample_0,3.96,0.0625
sample_0,3.966667,0.0625
sample_0,3.973333,0.09375
sample_0,3.98,0.140625
sample_0,3.986667,0.1875
sample_0,3.993333,0.2109375
sample_0,4.0,0.2265625
sample_0,4.006667,0.2421875
sample_0,4.013333,0.25
sample_0,4.02,0.2890625
sample_0,4.026667,0.328125
sample_0,4.033333,0.3671875
sample_0,4.04,0.4140625
sample_0,4.046667,0.46875
sample_0,4.053333,0.5234375
sample_0,4.06,0.5859375
sample_0,4.066667,0.640625
sample_0,4.073333,0.6953125
sample_0,4.08,0.7265625
sample_0,4.086667,0.734375
sample_0,4.093333,0.703125
sample_0,4.1,0.6640625
sample_0,4.106667,0.625
sample_0,4.113333,0.5859375
sample_0,4.12,0.546875
sample_0,4.126667,0.484375
sample_0,4.133333,0.3984375
sample_0,4.14,0.3046875
sample_0,4.146667,0.234375
sample_0,4.153333,0.15625
sample_0,4.16,0.0859375
sample_0,4.166667,0.0078125
sample_0,4.173333,-0.078125
sample_0,4.18,-0.140655517578125
sample_0,4.186667,-0.171905517578125
sample_0,4.193333,-0.179718017578125
sample_0,4.2,-0.164093017578125
sample_0,4.206667,-0.148468017578125
sample_0,4.213333,-0.125030517578125
sample_0,4.22,-0.101593017578125
sample_0,4.226667,-0.078155517578125
sample_0,4.233333,-0.054718017578125
sample_0,4.24,-0.039093017578125
sample_0,4.246667,-0.023468017578125
sample_0,4.253333,-0.031280517578125
sample_0,4.26,-0.046905517578125
sample_0,4.266667,-0.062530517578125
sample_0,4.273333,-0.078155517578125
sample_0,4.28,-0.078155517578125
sample_0,4.286667,-0.070343017578125
sample_0,4.293333,-0.062530517578125
sample_0,4.3,-0.046905517578125
sample_0,4.306667,-0.023468017578125
sample_0,4.313333,-0.007843017578125
sample_0,4.32,-3.0517578125e-05
sample_0,4.326667,-0.007843017578125
sample_0,4.333333,-0.015655517578125
sample_0,4.34,-0.039093017578125
sample_0,4.346667,-0.054718017578125
sample_0,4.353333,-0.062530517578125
sample_0,4.36,-0.062530517578125
sample_0,4.366667,-0.054718017578125
sample_0,4.373333,-0.046905517578125
sample_0,4.38,-0.039093017578125
sample_0,4.386667,-0.039093017578125
sample_0,4.393333,-0.031280517578125
sample_0,4.4,-0.031280517578125
sample_0,4.406667,-0.046905517578125
sample_0,4.413333,-0.062530517578125
sample_0,4.42,-0.070343017578125
sample_0,4.426667,-0.062530517578125
sample_0,4.433333,-0.039093017578125
sample_0,4.44,0.007781982421875
sample_0,4.446667,0.046875
sample_0,4.453333,0.0859375
sample_0,4.46,0.109375
sample_0,4.466667,0.1328125
sample_0,4.473333,0.140625
sample_0,4.48,0.1171875
sample_0,4.486667,0.0859375
sample_0,4.493333,0.046875
